gen_name,gen_country_second,gen_year,gen_election,ques_respositions,ques_numitems,ques_dnk,ques_weights,pos_method,vis_single,vis_rank_quant,vis_rank_notquant,vis_twodim,vis_threedim,vis_spider,designer_uni,designer_comp,designer_media,designer_ngo,elec_vaa,elec_ballot,elec_parliament,elec_electors,elec_users,website,Note,gen_country_first,match_cityblock,match_euclidean,match_agreement,match_2d,match_3d,match_6d,type,format,gen_weights
A qui en votar,,2008,Lower House,3,20,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,1,0,3,8,,,,http://www.elmundo.es/especiales/2008/02/espana/elecciones2008/aquienvotar/aquienvotar.html,,Spain,0,0,1,0,0,0,Party,Options,1.000000000
Aftonbladets Valkompass,,2010,Lower House,5,30,1,1,Kieskompas-method,0,1,0,1,0,0,1,1,1,0,10,19,,5960408,,http://www.sverige.kieskompas.nl/,,Sweden,0,0,0,1,0,0,Party,Scale,1.000000000
Aftonbladets Valkompass,,2014,Lower House,5,30,1,0,Kieskompas-method,0,1,0,1,0,0,1,1,1,0,9,,,,3200000,http://www.aftonbladet.se/nyheter/valaret2014/riksdag/Valkompassen/,600 candidates,Sweden,0,0,1,1,0,0,Party,Scale,1.000000000
Asahi Votematch,,2013,Upper House,5,,0,1,Candidate,0,1,0,0,0,0,0,0,1,0,,,,,,http://www.asahi.com/senkyo/senkyo2013/asahitodai/votematch.html,,Japan,0,0,1,0,0,0,Party,Scale,1.000000000
Brujula electoral,,2016,Lower House,5,,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,www.brujulaelectoral.es,,Spain,0,0,0,1,0,0,Party,Scale,1.000000000
Brujula Presidencial,,2012,President,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,1,0,4,4,,49087446,,http://www.brujulapresidencial.mx/page/1/en/default#top,,Mexico,0,0,0,1,0,0,Candidate,Scale,1.000000000
Brujula Presidencial,,2012,President,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,7,,,,,http://www.brujulapresidencial.org/page/1/en/default#top,,Venezuela,0,0,0,1,0,0,Candidate,Scale,1.000000000
Bundeswahlkompass,,2013,Lower House,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,http://www.bundeswahlkompass.de/page/1/de/default,,Germany,0,0,0,1,0,0,Party,Scale,1.000000000
Bussola Eleitoral,,2009,Lower House,5,28,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,12,16,,5505278,350000,http://www.bussolaeleitoral.pt/,,Portugal,0,0,0,1,0,0,Party,Scale,1.000000000
Bussola Eleitoral,,2015,Lower House,5,,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,0,0,,,,,,https://www.bussolaeleitoral.pt/,,Portugal,0,0,0,1,0,0,Party,Scale,1.000000000
Cabina Elettorale,,2009,European Parliament,3,25,1,1,Candidate,0,1,0,0,0,0,1,0,0,1,8,16,,30540434,,http://cabina-elettorale.it/app/eu2009it/,,Italy,0,0,1,0,0,0,Party,Scale,1.000000000
Choose4Greece,,2012,Lower House,6,30,1,1,Delphi,0,1,0,1,0,1,1,0,0,0,12,21,,,,http://www.choose4greece.com/,,Greece,0,1,0,1,0,0,Party,Scale,1.000000000
Choose4Greece,,2015,Lower House,6,30,1,1,Delphi,0,1,0,1,0,1,1,0,0,0,,,,,,http://www.choose4greece.com/,,Greece,0,1,0,1,0,0,Party,Scale,1.000000000
Choose4Greece,,2014,Region,6,30,1,1,Delphi,0,1,0,1,0,1,1,0,0,0,,,,,,,,Greece,0,1,0,1,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2004,European Parliament,3,,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2009,European Parliament,3,,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2014,European Parliament,3,,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,http://treecompany.be/stemtest2014/,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2003,Lower House,3,,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2007,Lower House,3,,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Doe De Stemtest,,2009,Lower House,3,36,1,0,Elite,0,1,0,0,0,0,1,0,0,0,,,,,,http://www.deredactie.be/cm/vrtnieuws/verkiezingen09/1.522507?shortcutView=default&view=shortcutArticle,,Belgium,0,0,1,0,0,0,Party,Scale,1.000000000
Ecuador Vota,,2013,Lower House,5,30,1,0,Expert,0,1,0,1,0,0,1,0,0,1,,,,,,http://www.ecuadorvota.com/,,Ecuador,0,1,0,1,0,0,Party,Scale,1.000000000
Egypt bosala,,2012,President,5,30,1,1,Kieskompas-method,0,0,0,1,0,0,0,1,0,0,,,,,,http://www.egypt.bosala.org/,,Egypt,0,0,1,1,0,0,Candidate,Scale,1.000000000
Einfach Wahlen,,2011,Lower House,6,35,1,1,Candidate,0,1,0,1,0,1,0,0,0,1,,,,,,https://www.vimentis.ch/d/wahlen/einfachwaehlen?wahl=23,,Switzerland,0,0,1,0,0,1,Candidate,Scale,1.000000000
Einfach Wahlen,,2015,Lower House,6,,1,1,Candidate,0,1,0,1,0,1,0,0,0,1,,,,,,https://www.vimentis.ch/wahlen?wahl=36,,Switzerland,0,0,1,0,0,1,Candidate,Scale,1.000000000
Elecciones,,2009,European Parliament,3,,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,0,1,,,,,,,,Spain,0,0,1,0,0,0,Party,Scale,1.000000000
Elecciones,,2014,European Parliament,3,,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,0,1,,,,,,http://es.votematch.eu/,,Spain,0,0,1,0,0,0,Party,Scale,1.000000000
Elecciones,,2011,Lower House,3,,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,0,1,,,,,,http://beta.elecciones.esca/,,Spain,0,0,1,0,0,0,Party,Scale,1.000000000
Elecciones,,2015,Lower House,3,,0,0,Kieskompas-method,0,1,0,0,0,0,0,0,0,1,,,,,,http://votoguia.org/#tools/20d_2015,,Spain,0,0,1,0,0,0,Party,Scale,1.000000000
Elecciones,,2016,Lower House,3,10,0,1,Kieskompas-method,0,1,0,0,0,0,0,0,0,1,,,,,,http://votoguia.org/#tools/elecciones_generales%2026j2016,,Spain,0,0,1,0,0,0,Party,Scale,1.000000000
Election Compass,,2013,Lower House,6,30,1,1,Kieskompas-method,0,0,0,1,0,0,1,1,1,1,16,,,,,http://www.electioncompass.org/,,Israel,0,0,0,1,0,0,Party,Scale,1.000000000
Election Compass,,2016,President,5,30,1,0,Kieskompas-method,0,0,0,1,0,0,1,1,1,0,,,,,,https://usa.electioncompass.org/en/,,United States,0,0,0,1,0,0,Candidate,Scale,1.000000000
Electionnaire,,2011,Lower House,3,29,1,0,Elite,0,1,0,0,0,0,0,1,0,0,31,,,,,http://egypt.electionnaire.com/,,Egypt,0,0,1,0,0,0,Party,Scale,1.000000000
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,16,,,,,http://www.euprofiler.eu/,,Austria,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,Vlaanderen,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Belgium,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,Wallonia,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,5,,,,,http://www.euprofiler.eu/,,Belgium,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Bulgaria,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Croatia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,6,,,,,http://www.euprofiler.eu/,,Cyprus,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Czechia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,10,,,,,http://www.euprofiler.eu/,,Denmark,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Estonia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,13,,,,,http://www.euprofiler.eu/,,Finland,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,17,,,,,http://www.euprofiler.eu/,,France,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Germany,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,7,,,,,http://www.euprofiler.eu/,,Greece,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,10,,,,,http://www.euprofiler.eu/,,Hungary,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,7,,,,,http://www.euprofiler.eu/,,Ireland,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,8,,,,,http://www.euprofiler.eu/,,Italy,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Latvia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Lithuania,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,8,,,,,http://www.euprofiler.eu/,,Luxembourg,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,4,,,,,http://www.euprofiler.eu/,,Malta,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Netherlands,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Poland,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,15,,,,,http://www.euprofiler.eu/,,Portugal,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,8,,,,,http://www.euprofiler.eu/,,Romania,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,6,,,,,http://www.euprofiler.eu/,,Slovakia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,Slovenia,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Spain,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,Sweden,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,6,,,,,http://www.euprofiler.eu/,,Switzerland,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,17,,,,,http://www.euprofiler.eu/,,Turkey,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,England,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,10,,,,,http://www.euprofiler.eu/,,United Kingdom,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,Northern Ireland,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,9,,,,,http://www.euprofiler.eu/,,United Kingdom,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,Wales,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,10,,,,,http://www.euprofiler.eu/,,United Kingdom,0,0,1,1,0,0,Party,Scale,0.029411765
EU Profiler,Scotland,2009,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,1,0,1,1,1,0,0,11,,,,,http://www.euprofiler.eu/,,United Kingdom,0,0,1,1,0,0,Party,Scale,0.029411765
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Austria,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,Wallonia,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Belgium,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,Flanders,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Belgium,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Bulgaria,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Croatia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Cyprus,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Czechia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Denmark,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Estonia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Finland,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,France,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Germany,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Greece,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Hungary,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Ireland,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Italy,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Latvia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Lithuania,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Luxembourg,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Malta,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Netherlands,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Poland,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Portugal,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Romania,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Slovakia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Slovenia,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Spain,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,Sweden,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,Scotland,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,United Kingdom,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,Northern Ireland,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,United Kingdom,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,England,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,United Kingdom,0,1,0,0,1,0,Party,Scale,0.031250000
euandi,Wales,2014,European Parliament,5,30,1,1,Kieskompas-method,0,1,0,0,1,0,1,0,0,0,,,,,,,,United Kingdom,0,1,0,0,1,0,Party,Scale,0.031250000
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,9,,,,,,High match is Hybrid algorithm,Austria,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Wallonia,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,7,,,,,,High match is Hybrid algorithm,Belgium,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Deutschsprachiges Wahlterritorium,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,,,,,,,High match is Hybrid algorithm,Belgium,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Flanders,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,7,,,,,,High match is Hybrid algorithm,Belgium,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Bulgaria,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,7,,,,,,High match is Hybrid algorithm,Croatia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Cyprus,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Czechia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Denmark,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Estonia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Finland,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,France,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Germany,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Greece,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Hungary,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Ireland,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Italy,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Latvia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,7,,,,,,High match is Hybrid algorithm,Lithuania,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Luxembourg,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,3,,,,,,High match is Hybrid algorithm,Malta,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Netherlands,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,9,,,,,,High match is Hybrid algorithm,Poland,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,8,,,,,,High match is Hybrid algorithm,Portugal,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,Romania,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Slovakia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,7,,,,,,High match is Hybrid algorithm,Slovenia,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Spain,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,10,,,,,,High match is Hybrid algorithm,Sweden,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Scotland,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,United Kingdom,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Wales,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,6,,,,,,High match is Hybrid algorithm,United Kingdom,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,Northern Ireland,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,5,,,,,,High match is Hybrid algorithm,United Kingdom,0,1,0,1,0,0,Party,Scale,0.030303031
EUVox,England,2014,European Parliament,5,30,1,1,Delphi,0,1,0,1,0,0,1,1,0,0,5,,,,,,High match is Hybrid algorithm,United Kingdom,0,1,0,1,0,0,Party,Scale,0.030303031
Glasometar,,2014,Lower House,2,31,1,1,Elite,0,1,0,0,0,0,0,0,0,1,18,,,,40000,http://glasometar.ba/,,Bosnia and Herzegovina,0,0,1,0,0,0,Party,Scale,1.000000000
Glasosleditel,,2009,Lower House,3,30,0,1,Manifesto,0,1,0,0,0,0,1,1,0,1,8,18,,4226194,,http://www.glasovoditel.eu/glasovoditel.html,,Bulgaria,0,0,1,0,0,0,Party,Scale,1.000000000
Glasovoditel,,2009,European Parliament,3,31,1,1,Manifesto,0,1,0,0,0,0,1,1,0,1,6,14,,2576434,,http://www.glasovoditel.eu/glasovoditel-evroparlament.html,,Bulgaria,0,0,1,0,0,0,Party,Scale,1.000000000
Glasovoditel,,2014,European Parliament,3,26,0,1,Manifesto,0,1,0,0,0,0,1,1,0,1,,,,,13020,http://www.glasovoditel.eu/partii.html,,Bulgaria,0,0,1,0,0,0,Party,Scale,1.000000000
Glasovoditel,,2009,Lower House,3,30,1,1,Manifesto,0,1,0,0,0,0,1,1,0,1,8,,,,,http://www.glasovoditel.eu/,,Bulgaria,0,0,1,0,0,0,Party,Scale,1.000000000
